"Bill of Material for "
"On 27/10/2015 at 2:51:33 PM"

"Comment","Pattern","Quantity","Components"

"CR0603-FX-1001ELF","RESC1608","1","R7","RES SMD 1K OHM 1% 1/10W 0603"
"CR0603-FX-23R2ELF","RESC1608","2","R3, R4","RES SMD 23.2 OHM 1% 1/10W 0603"
"CR0603-FX-60R4ELF","RESC1608","2","R1, R2","RES SMD 60.4 OHM 1% 1/10W 0603"
"CR0603-J/-000ELF","RESC1608","2","R5, R6","RES SMD 0.0OHM JUMPER 1/10W 0603"
"GCM188R71C105KA64D","CAPC1608","1","C2","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1.0uF 16volts X7R 10%"
"GRJ188R71H104KE11D","CAPC1608","1","C3","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.10uF 50volts X7R +/-10% Soft Term"
"GRM21BR61A106KE19L","CAPC2012","1","C1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 10uF 10volts X5R 10%"
"Header 2","TERM_BLOCK_2_HORZ_RIACON01","1","P1","Header, 2-Pin"
"Header 7X2","IDC14-B","1","P2","Header, 7-Pin, Dual row"
"LTST-C191KGKT","LEDC1608M_AK","1","D2","LED GREEN CLEAR 0603 SMD"
"SN65HVD230D","SOIC127P580-8N","1","U1","IC CAN TRANSCEIVER 3.3V 8-SOIC"
"SZNUP2105LT3G","SOT23_A2A1K","1","D1","TVS DIODE 24VWM 44VC SOT23"
